track_name,artist_name,popularity,danceability,energy,key,loudness,acousticness,liveness,duration_ms,streaming_count,duration_minutes,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Weekly Mean
Die With A Smile,Lady Gaga,100,-0.8706589696519874,-0.2895722872624568,6,-0.3200679464943088,0.2220974821792349,-0.4424518747390006,251668,1000000,4.194466666666667,88565.71768134144,84246.31666051513,80137.57531328672,76229.21964614035,72511.47673413662,68975.05028350968,65611.09738609073,62411.20640743138,59367.37595333623,56471.994862209554,53717.823173186865,51097.97402246166,48605.89642253864,46235.358881352746,43980.43382029315,41835.48275216919,62500.000000000015
BIRDS OF A FEATHER,Billie Eilish,97,0.6349884874771541,-0.7745626016250429,2,-0.958525070422482,-0.2040390769582321,-0.48075226222809,210373,970000,3.5062166666666665,85908.7461509012,81718.92716069968,77733.44805388812,73942.34305675614,70336.13243211251,66905.7987750044,63642.764464508,60538.870215208444,57586.35467473614,54777.83501634326,52106.28847799126,49565.03480178781,47147.71952986248,44848.29811491216,42661.02080568435,40580.41826960411,60625.00000000001
"Good Luck, Babe!",Chappell Roan,94,0.3218671136494119,-0.3466299713051141,11,0.1645087428028888,-0.7951062673174227,-0.7021285019150276,218424,940000,3.6404,83251.77462046096,79191.53766088422,75329.32079448951,71655.46646737192,68160.78813008842,64836.5472664991,61674.43154292528,58666.5340229855,55805.333396136055,53083.67517047698,50494.753782795655,48032.095581113965,45689.54263718632,43461.23734847158,41341.607791075556,39325.353787039036,58750.00000000001
Taste,Sabrina Carpenter,94,0.1486510345106617,1.5077447600812452,3,0.6642867921936142,-0.5946642561675771,0.8980616873791333,157280,940000,2.6213333333333333,83251.77462046096,79191.53766088422,75329.32079448951,71655.46646737192,68160.78813008842,64836.5472664991,61674.43154292528,58666.5340229855,55805.333396136055,53083.67517047698,50494.753782795655,48032.095581113965,45689.54263718632,43461.23734847158,41341.607791075556,39325.353787039036,58750.00000000001
Sailor Song,Gigi Perez,93,-1.0505372056806903,-1.3109048316260208,11,-1.0281312982191628,1.69779260363676,0.1014136276060709,211979,900000,3.532983333333333,79709.14591320729,75821.68499446362,72123.81778195805,68606.29768152631,65260.32906072296,62077.545255158715,59049.98764748165,56170.085766688244,53430.63835800261,50824.79537598859,48346.04085586818,45988.1766202155,43745.30678028477,41611.82299321747,39582.39043826383,37651.93447695227,56250.0
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",90,-0.5042403407046303,1.3765120867831335,0,0.4050635990197695,0.415437217343456,1.441927189724205,197020,920000,3.2836666666666665,81480.46026683412,77506.61132767392,73726.56928822378,70130.88207444912,66710.55859540569,63457.04626082891,60362.209595203465,57418.30989483687,54617.98587706933,51954.235273232785,49420.39731933192,47010.13610066473,44717.42470873555,42536.530170844526,40461.99911466969,38488.64413199565,57500.0
That’s So True,Gracie Abrams,92,-0.6508077922835728,0.9428736880589392,1,0.6421514783732141,-0.1487991526255976,-0.1590290073197379,166300,930000,2.7716666666666665,82366.11744364754,78349.07449427908,74527.94504135665,70893.17427091053,67435.67336274705,64146.79676366401,61018.32056906437,58042.42195891119,55211.65963660269,52518.955221854885,49957.57555106378,47521.115840889346,45203.48367296093,42998.883759658056,40901.80345287263,38906.99895951735,58125.000000000015
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",87,-0.9772534798912188,0.965696761676002,1,0.6909558449892773,0.1313461779184779,2.0240930795583663,255916,980000,4.265266666666666,86794.40332771461,82561.39032730483,78534.82380702098,74704.63525321754,71061.24719945388,67595.54927783948,64298.87543836891,61162.982279282754,58180.0284342695,55342.55496496536,52643.46670972313,50076.01454201243,47633.77849408786,45310.65170372569,43100.82514388728,40998.773097125806,61250.0
APT.,ROSÉ,98,0.8348531941757128,0.800229477952296,0,0.5600107957625717,-0.8815172918091869,1.342346182252572,169917,870000,2.83195,77052.17438276706,73294.29549464816,69719.69052255944,66319.4210921421,63084.984758698854,60008.29374665343,57081.65472589893,54297.749574465306,51649.61707940252,49130.63553012231,46734.50616067257,44455.23739954165,42287.129887608615,40224.76222677689,38262.97742365504,36396.86999438719,54375.0
Timeless (with Playboi Carti),The Weeknd,92,0.7815559390560972,0.4521776052920868,11,0.2911867435822882,-0.7627514544940225,-0.5267127272149975,256000,920000,4.266666666666667,81480.46026683412,77506.61132767392,73726.56928822378,70130.88207444912,66710.55859540569,63457.04626082891,60362.209595203465,57418.30989483687,54617.98587706933,51954.235273232785,49420.39731933192,47010.13610066473,44717.42470873555,42536.530170844526,40461.99911466969,38488.64413199565,57500.0
